ticker,error,name,long_name,sector,industry,country,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_ebitda,ev_to_revenue,roe,roa,operating_margin,profit_margin,gross_margin,ebitda_margin,revenue_growth,earnings_growth,quarterly_revenue_growth,quarterly_earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,free_cash_flow,operating_cash_flow,beta,insider_ownership,institutional_ownership,shares_outstanding,float_shares,short_percent,price,week52_high,week52_low,avg_volume,recommendation,passed_filters,quality_score,growth_score,health_score,valuation_score,momentum_score,composite_score,multibagger_score,rationale
HRMY,,"Harmony Biosciences Holdings, I","Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology,United States,2423798528.0,1916198656.0,13.601307,6.224612,,2.4207525,2.5250585,7.486,1.996,0.20456,0.1162,0.34183997,0.18884,0.75424004,0.26668,0.303,0.882,,0.896,0.16030999999999998,3.479,3.327,667790976.0,160191008.0,182835504.0,355076992.0,0.925,0.11627,0.99696,58236393.0,52084300.0,0.0949,41.62,43.49,25.52,821358.0,buy,True,0.5658490513172966,0.9547997243871242,0.414604663950875,0.8985607412210126,1.3264573077674415,0.7132127890512128,9.2,"Constructive price momentum; solid growth (revenue +30%, EPS +88%). Balance sheet worth monitoring."
REX,,REX American Resources Corporat,REX American Resources Corporation,Basic Materials,Chemicals,United States,1417926912.0,1154224896.0,11.709589,18.828196,,2.0995235,2.0713725,9.568,1.686,0.19591999,0.08156,0.20159,0.17612,0.21535,0.17623,0.179,3.902,,3.914,0.023090000000000003,6.884,6.186,379513984.0,17819000.0,47938876.0,143044000.0,0.628,0.13438,0.83545995,33175640.0,31038797.0,0.0337,42.74,53.36,30.02,189180.0,none,True,-0.2892585382240468,1.467438377128716,1.396883062536129,0.5725639554698191,-0.1863288056476347,0.7058709514870882,9.2,"Solid growth (revenue +18%, EPS +390%); healthy balance sheet (D/E 0.02, CR 6.9). Profitability is the softer spot."
KRYS,,"Krystal Biotech, Inc.","Krystal Biotech, Inc.",Healthcare,Biotechnology,United States,10303058944.0,9466280960.0,43.675034,37.03999,,7.5798616,23.390314,47.499,21.491,0.20124,0.093669996,0.48999,0.54818,0.94639,0.45244,0.241,0.388,,0.429,0.00651,8.318,7.726,845630976.0,8853000.0,151739744.0,272337984.0,0.537,0.10659,1.02464,29598836.0,23618391.0,0.17729999,348.09,382.535,137.023,412135.0,none,True,1.6461414383147839,0.2611585177025426,1.6145428707827543,-2.164735590308547,1.170259239888363,0.6965704020638955,9.1,"Strong profitability (ROE 20%, op margin 49%); healthy balance sheet (D/E 0.01, CR 8.3). Valuation looks stretched."
CARG,,"CarGurus, Inc.","CarGurus, Inc.",Communication Services,Internet Content & Information,United States,2893106688.0,2956112640.0,16.742268,10.791379,0.7046,12.312358,2.9909928,10.834,3.056,0.53470004,0.2502,0.25275,0.18189,0.92375,0.2821,0.131,1.41,,1.202,0.7003499999999999,1.85,1.515,122136000.0,185142000.0,241320752.0,318721984.0,1.159,0.03004,1.08864,75309865.0,72892390.0,0.1319,32.48,41.22,26.39,1107432.0,buy,True,1.4545922362892878,1.0323555416624428,-0.46369856980495705,0.7638844476490764,-0.7653767979482499,0.6548557411011068,9.0,"Strong profitability (ROE 53%, op margin 25%); solid growth (revenue +13%, EPS +141%). Recent price action is soft."
ESNT,,Essent Group Ltd.,Essent Group Ltd.,Financial Services,Insurance - Specialty,Bermuda,6162831360.0,5960584192.0,9.563458,8.729361,,1.0881882,4.6582527,6.944,4.505,0.12009,0.07202,0.6575,0.51452,0.76005995,0.64882004,0.136,0.078,,-0.029,0.08757,1.791,1.101,698219008.0,495972000.0,690249472.0,834083008.0,0.758,0.055170003,0.9784,89876493.0,86650826.0,0.0401,68.57,70.37,55.34,689301.0,none,True,1.385024490910988,-0.4214908620985176,0.5098499064053351,0.7448960831394124,1.2587897993123305,0.6122710107865291,8.9,"Strong profitability (ROE 12%, op margin 66%); constructive price momentum. Growth is modest — more of a compounder."
CNS,,Cohen & Steers Inc,"Cohen & Steers, Inc.",Financial Services,Asset Management,United States,3968199424.0,3925973760.0,23.744616,19.389446,1.7476,6.7320943,6.796119,19.338,6.724,0.27329,0.14536001,0.34554002,0.28824,0.47300997,0.3477,0.122,0.319,,0.339,0.19326000000000002,6.638,6.6,282608992.0,134390000.0,156940496.0,72166000.0,1.196,0.45824,0.57963,51421533.0,27688953.0,0.041100003,77.17,86.56,58.39,280151.0,none,True,0.9330097871261663,-0.10642284172029659,1.4633165892470468,-0.42650727743844785,0.33817557315795277,0.572059060061668,8.8,"Healthy balance sheet (D/E 0.19, CR 6.6); strong profitability (ROE 27%, op margin 35%). Valuation looks stretched."
SEIC,,SEI Investments Company,SEI Investments Company,Financial Services,Asset Management,United States,12862455808.0,12856312832.0,18.901234,15.4944725,1.8529,5.1437488,5.2494764,16.923,5.247,0.27587998,0.14759,0.30706,0.28847998,0.78388,0.31004,0.147,-0.107,,-0.138,0.02383,5.059,4.765,421196000.0,67852000.0,377482240.0,712024000.0,0.969,0.15633,0.77752995,120019182.0,99414289.0,0.015700001,107.17,112.15,75.08,702345.0,buy,True,0.9920102653587971,-0.5642600760602193,1.311294862998885,-0.04519581193998699,1.1959423144685335,0.5373795202747341,8.8,"Healthy balance sheet (D/E 0.02, CR 5.1); constructive price momentum. Growth is modest — more of a compounder."
RELY,,"Remitly Global, Inc.","Remitly Global, Inc.",Technology,Software - Infrastructure,United States,5095235072.0,4457105408.0,17.82963,14.902917,,4.5210366,2.815624,22.374,2.463,0.32246,0.08542,0.14324,0.16855,0.61548,0.110080004,0.202,30.0,,30.504,0.03396,3.181,2.524,676393984.0,38264000.0,196120992.0,406121984.0,0.364,0.053340003,0.88683,211684054.0,200162091.0,0.072,24.07,27.479,12.08,3569269.0,none,True,-0.08033035484739508,1.5209324718458253,0.3290932681110876,0.14313596771238568,0.8207634107411474,0.5009158942289249,8.7,"Solid growth (revenue +20%, EPS +3000%); constructive price momentum. Profitability is the softer spot."
LQDA,,Liquidia Corporation,Liquidia Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,United States,6186854400.0,6085569536.0,49.371433,12.233628,,31.561644,13.72091,35.846,13.496,1.3181599,0.27039,0.49812,0.30739,0.92542,0.3765,18.427,,,,0.93738,2.312,2.075,284180992.0,182896000.0,74296128.0,167708000.0,0.535,0.11319,0.81813,89508891.0,63315009.0,0.16430001,69.12,93.61,21.15,1769111.0,buy,True,2.312789893166593,0.75,-0.6844362441884421,-1.5154251309286402,0.3181477651600554,0.49882152552157416,8.6,"Strong profitability (ROE 132%, op margin 50%); solid growth (revenue +1843%). Valuation looks stretched."
MLI,,"Mueller Industries, Inc.","Mueller Industries, Inc.",Industrials,Metal Fabrication,United States,14091466752.0,12726427648.0,16.548052,14.545662,,3.9719448,3.0231824,11.682,2.73,0.26325,0.16493,0.2181,0.18247,0.28776,0.23372,0.255,0.018,,0.015,0.0069099999999999995,4.775,3.655,1415988992.0,24684000.0,524939744.0,743283968.0,1.107,0.02122,0.94575,221181388.0,216209230.0,0.0208,63.71,71.12,48.265,1464629.0,none,True,0.2564883015585518,-0.15426617211194185,1.2945063908140648,0.4511307152657367,0.3774680283784359,0.44854955385187856,8.5,"Healthy balance sheet (D/E 0.01, CR 4.8); reasonable valuation (P/E 17). Growth is modest — more of a compounder."
